Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
ANÁPOLIS/HEANA;02/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;03/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;04/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;05/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;06/01/2020;;;;;;20;2;16;2;90,0
ANÁPOLIS/HEANA;07/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;08/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;09/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;10/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;11/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;12/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;13/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;14/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;15/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;16/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;17/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;18/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;19/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;20/01/2020;;;;;;20;2;16;2;90,0
ANÁPOLIS/HEANA;21/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;22/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;23/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;24/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;25/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;26/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;27/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;28/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;29/01/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;30/01/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;31/01/2020;;;;;;20;2;16;2;90,0
ANÁPOLIS/HEANA;01/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;02/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;03/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;04/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;05/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;06/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;07/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;08/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;09/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;10/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;11/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;12/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;13/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;14/02/2020;;;;;;20;2;16;2;90,0
ANÁPOLIS/HEANA;15/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;16/02/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;17/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;18/02/2020;;;;;;20;0;18;2;100,0
